"date","hospitalized_with_symptoms","intensive_care","total_hospitalized","home_confinement","cumulative_positive_cases","daily_positive_cases","recovered","death","positive_clinical_activity","positive_surveys_tests","cumulative_cases","total_tests","total_people_tested","new_intensive_care","total_positive_molecular_test","total_positive_rapid_antigen_test","molecular_test","rapid_antigen_test"
2021-03-01,19112,2289,21401,402932,424333,1966,2416093,97945,NA,NA,2938371,40303520,19685310,171,2887097,51274,34932830,5370690
2021-03-02,19570,2327,21897,409099,430996,6663,2426150,98288,NA,NA,2955434,40639503,19790559,222,2901272,54162,35087433,5552070
2021-03-03,19763,2411,22174,415247,437421,6425,2440218,98635,NA,NA,2976274,40998387,19906431,222,2919425,56849,35279774,5718613
2021-03-04,20157,2475,22632,423807,446439,9018,2453706,98974,NA,NA,2999119,41338022,20018633,232,2940399,58720,35462826,5875196
2021-03-05,20374,2525,22899,433571,456470,10031,2467388,99271,NA,NA,3023129,41716485,20146921,222,2962077,61052,35661456,6055029
2021-03-06,20701,2571,23272,442540,465812,9342,2481372,99578,NA,NA,3046762,42071509,20267157,214,2983454,63308,35849068,6222441
2021-03-07,21144,2605,23749,449113,472862,7050,2494839,99785,NA,NA,3067486,42342845,20375964,161,3002580,64906,36013136,6329709
2021-03-08,21831,2700,24531,448002,472533,-329,2508732,100103,NA,NA,3081368,42527529,20435513,231,3015474,65894,36115564,6411965
2021-03-09,22393,2756,25149,453734,478883,6350,2521731,100479,NA,NA,3101093,42873501,20543816,278,3032381,68712,36292531,6580970
2021-03-10,22882,2827,25709,461365,487074,8191,2535483,100811,NA,NA,3123368,43234541,20664762,253,3052141,71227,36494453,6740088
2021-03-11,23247,2859,26106,471244,497350,10276,2550483,101184,NA,NA,3149017,43606758,20793180,266,3074409,74608,36702922,6903836
2021-03-12,23656,2914,26570,482747,509317,11967,2564926,101564,NA,NA,3175807,43976394,20911246,226,3098594,77213,36904071,7072323
2021-03-13,24153,2982,27135,492926,520061,10744,2579896,101881,NA,NA,3201838,44349338,21035159,270,3122044,79794,37107202,7242136
2021-03-14,24518,3082,27600,503666,531266,11205,2589731,102145,NA,NA,3223142,44623304,21138014,243,3141921,81221,37275176,7348128
